Source.Name,window,start_time_ms,time_mean_x,time_sd_x,time_rms_x,time_kurtosis_x,time_crest_x,fft_max_x,fft_rms_x,spectral_centroid_x,spectral_entropy_x,time_mean_y,time_sd_y,time_rms_y,time_kurtosis_y,time_crest_y,fft_max_y,fft_rms_y,spectral_centroid_y,spectral_entropy_y,time_mean_z,time_sd_z,time_rms_z,time_kurtosis_z,time_crest_z,fft_max_z,fft_rms_z,spectral_centroid_z,spectral_entropy_z,type
healthy3.csv,13,11815,-0.019597047,0.147555378,0.148851046,2.371344055,4.613793591,6.440180289,2.396259879,125.0875364,6.220965466,0.038876543,0.149275773,0.15425512,-0.422400587,2.573483456,16.73630832,2.522794578,122.8748578,4.476715055,1.03192616,0.121434956,1.039046702,-0.421953985,1.277980092,264.173097,23.4305132,37.94667012,0.086970334,healthy
healthy3.csv,14,12504,-0.014602664,0.15733979,0.158015972,2.866484644,5.038370426,8.412931647,2.537698937,127.8170252,6.179585121,0.044360141,0.141983738,0.148752156,-0.774785372,2.54887062,16.90005376,2.480616674,121.4067173,4.164872979,1.035501504,0.12107328,1.042555564,-0.54484314,1.280937963,265.088385,23.51066531,39.0697388,0.085639628,healthy
healthy3.csv,15,13192,-0.012594203,0.167119906,0.167593785,3.568180894,5.20639234,8.700569316,2.688963067,125.5111546,6.116480791,0.044755934,0.148640496,0.155232377,-0.647503149,2.747584038,17.24962094,2.582439471,122.9941404,4.38803772,1.034166336,0.11708848,1.040773617,-0.49990583,1.266946027,264.746582,23.47537958,36.8137395,0.080248869,healthy
healthy3.csv,16,13881,-0.016837133,0.158404628,0.159296941,0.972121018,3.059098295,7.221445568,2.547003265,121.7142296,6.072157469,0.041315086,0.147846379,0.153510548,-0.552926905,2.82133708,17.53102358,2.536978096,123.4639544,4.322971243,1.033683746,0.119251084,1.04053972,-0.268678513,1.310871632,264.623039,23.46726003,36.75155773,0.079957717,healthy
healthy3.csv,17,14570,-0.016063723,0.170123535,0.170880251,1.824926462,3.947565591,6.702691467,2.743949375,127.6989247,6.144849582,0.04800893,0.13673619,0.144919436,-0.427574283,2.998700592,14.73184784,2.44240919,123.5509848,4.522772475,1.038924211,0.116557303,1.04544207,0.229676657,1.326676093,265.964598,23.58202354,37.03298493,0.079516112,healthy
healthy3.csv,18,15259,-0.013340973,0.168847224,0.169373453,0.800909221,3.4435857,7.09765938,2.703715074,132.132439,6.134104143,0.04771709,0.141770419,0.149585335,-0.742205702,2.771334499,18.58881801,2.51041944,125.9048386,3.870156716,1.036919617,0.115056471,1.043283415,-0.41265044,1.313507893,265.451422,23.53490033,35.76460144,0.074174983,healthy
healthy3.csv,19,15947,-0.016732223,0.153622101,0.154530635,1.468194473,3.859661865,7.45071843,2.470428313,123.1111797,6.076655666,0.041052816,0.153907857,0.159288926,-0.677588786,2.694468534,19.07374533,2.618526874,128.4939261,4.095643758,1.034700391,0.126396656,1.042391967,-0.570729211,1.261465017,264.8833,23.49973896,39.79435023,0.090379902,healthy
healthy3.csv,20,16636,-0.014877316,0.143765259,0.144532987,0.663817513,3.940830487,7.808571801,2.312486925,126.915944,6.136280271,0.039758676,0.148943986,0.154159214,0.114162873,4.016243878,16.12920008,2.527907887,128.38499,4.580554218,1.03221034,0.116922516,1.038811369,-0.446011154,1.308117181,264.245847,23.43098147,35.82039877,0.078934661,healthy
healthy3.csv,21,17325,-0.016863793,0.15253936,0.153468707,2.265986518,4.643591615,6.502458068,2.466800358,125.5914661,6.113719053,0.040863012,0.140303736,0.146133241,-0.454221674,2.900284683,15.12472544,2.4247724,122.1130152,4.559205586,1.033066758,0.117516507,1.039729318,-0.144452987,1.364960067,264.46509,23.45105074,36.62680537,0.082042073,healthy
healthy3.csv,22,18014,-0.017067926,0.156267313,0.157196651,2.028553168,3.769348751,7.880954943,2.528220685,122.0080088,6.139522245,0.044088379,0.147809801,0.154245007,-0.750394153,2.399539578,18.73419268,2.565639499,126.2391951,3.964937753,1.035340297,0.123194638,1.04264397,-0.556894774,1.281532371,265.047116,23.50983269,37.35640473,0.086050496,healthy
healthy3.csv,23,18703,-0.019920359,0.160572401,0.161803327,2.398119602,4.677505792,6.187797628,2.605663036,122.246717,6.236329827,0.039480219,0.144217593,0.149523918,-0.611898895,2.424689012,17.35876423,2.474221344,125.7463351,4.318328525,1.035593039,0.120560407,1.042587049,-0.620561904,1.256780431,265.111818,23.51204129,36.76209205,0.082581052,healthy
healthy3.csv,24,19391,-0.012927992,0.160757156,0.161276149,3.477267728,4.67766006,9.261629114,2.568142313,121.3938515,5.950124994,0.042547203,0.150794701,0.156682183,-0.506668456,2.491546853,15.46990266,2.593717797,123.3093753,4.630651439,1.034075734,0.122849742,1.041347533,-0.725064701,1.252180429,264.723388,23.48087017,37.8382001,0.086745244,healthy
healthy3.csv,25,20080,-0.018780703,0.154825729,0.15596064,2.26259465,4.195270039,6.33397201,2.465906947,126.7048183,6.179968792,0.039553664,0.140651005,0.146106802,-0.825579303,2.50479098,14.88597764,2.412740207,126.7311295,4.510132213,1.03378107,0.11213044,1.039844477,-0.444286778,1.29460802,264.647954,23.4604912,37.29869833,0.075751166,healthy
healthy3.csv,26,20769,-0.020526898,0.154838646,0.156193342,1.443139398,3.602868046,7.981383876,2.517772154,121.1760358,6.023896316,0.044858906,0.151150489,0.157666711,-0.744729652,2.626185312,19.50694425,2.621157352,123.8385772,3.849204933,1.037894234,0.126383117,1.045560679,-0.380588742,1.416657138,265.700924,23.57176114,37.16030061,0.090280805,healthy
